0:-18.43284948976936:knack,evolved,emerge,priced,speed,bone,deals,steer,hayflowers,mesmerizing,cleaning,wonderfully,bones,conner,composure,interpretation,slight,chandon,lines,harmless
1:-18.018899438140362:huckleberries,pique,mango,belly,stalky,bucher,kevin,providing,gewurz,magenta,mountains,refers,fantastic,lunch,chilean,clacky,supposedly,unfurl,having,force
2:-18.832315742880304:crispened,case,pudding,broad,internal,resonance,watery,brightens,fuzzy,jacques,notorious,pebbles,blow,ollallieberry,refermenting,negro,warranted,reading,somewhat,quiet
3:-15.713764121158984:stony,crab,sourness,toffee,rounds,rooted,talcum,pulp,stylish,drily,arresting,snoqualmie,offer,based,unusual,percentages,zesty,salad,famous,earns
4:-16.86305051990833:pleasant,resonate,cavas,noted,crew,intriguing,taster,roussanne,breathes,15th,glamorous,tendency,assortment,energy,moment,barbara,2026,admirably,experimenting,loaded
5:-14.347279793526821:astonishing,leather,sprays,verdot,traditional,beauty,emerging,black,spine,manifests,abounds,ahead,distinctive,remains,softer,hazlitt,overoaked,rosato,entirely,dick
6:-15.174405422019465:sonoma,overlay,cocoa,airy,cabernet,brilliant,margaux,knoll,rooty,include,olive,gassy,picks,undoubtedly,tension,sends,floating,uco,surrounding,vineyards
7:-17.453709428639588:nary,tropez,mor,flow,laced,ferrini,kenneth,carlson,flattering,perfectly,honesty,test,chimney,complemented,strung,secure,ungrafted,flavor,memorable,reasonably
8:-15.558187779943776:climate,project,meandering,drinkable,laroche,cooperative,beautiful,considerable,soil,whiffs,afternoon,development,beets,kitchen,meaning,similarities,pure,woodspice,crafts,tames
9:-16.67494952238594:puckery,day,tired,crackers,awhile,good,springtime,dropped,recent,clampy,aerating,dirty,clarksburg,wachau,composting,sauvignon,australia,liked,crasto,2018
10:-18.315496043373216:uruguayan,disappeared,moreau,20th,torre,instance,sandstone,pushing,workmanlike,needles,watering,proceedings,vie,2032,caliber,typical,sustaining,cypress,mitigated,fast
11:-17.53592116371459:traditionally,crus,attribute,conclusion,shows,mccrum,tinge,bunch,stéphane,rib,kent,hyde,larger,chimes,matched,verdicchio,eccentric,tariff,recent,carry
12:-18.239673989198092:33,milon,fermented,catalonian,decline,downhill,pleases,comparative,saved,mike,applegate,sit,dramatically,says,scorched,breezy,rhône,outsized,intrigue,icon
13:-17.444439436924814:lonesome,boundary,severity,seduce,noble,notice,collectible,tapioca,saffron,new,madiran,accentuated,stunning,sherried,tamarind,fuse,generous,incomplete,bailly,flirty
14:-15.76623847190399:use,luxury,buttered,basic,gsm,gently,irresistible,sensation,lot,storm,arresting,tech,refreshed,bing,rich,invigorated,backbone,unknown,loam,glycerine
15:-12.8275882844939:yields,mixture,interpretation,historic,vertically,fine,bianca,root,creamed,peak,floral,helena,stems,based,maple,vividly,magnificently,baked,lactic,savory
16:-17.892346941845762:clamped,briary,vento,novelty,mitigated,insipid,esque,guarachi,elusively,freely,transition,kirk,refreshing,artfully,slick,carnation,bedded,fernão,bordeaux,kola
17:-15.378221336245135:long,ample,doling,rounded,minerals,lies,slender,sweep,packaging,create,joyful,arugula,honeydew,fistfuls,18,baked,ribera,beaujolais,harsh,purists
18:-18.476769877984857:bees,branded,tain,coveted,focuses,strict,weren,rind,sunshine,napa,tempered,veggie,begin,royce,indicates,requiring,coaxes,snapped,check,cleanly
19:-16.93322717523873:divide,brooder,change,atypical,gaglioppo,loud,tempted,mole,clocking,worth,end,took,weedy,striated,tartaric,unfamiliar,lists,color,showstopper,premium
20:-18.187272087417504:pertly,imparted,behaved,texas,region,alike,luisa,zingy,allowed,squat,rolls,blaufränkisch,apricot,room,candylike,snacks,commingling,crescendo,glyceriney,mckinley
21:-17.032907358479566:berries,retasted,notions,alliance,vivid,supplies,overextracted,demeter,breaded,barbieri,johnson,dynamite,succulently,mesh,brian,blanc,charcuterie,dark,judge,petaluma
22:-12.48160584578248:veer,raspberry,bold,secondary,pg,cheap,pee,softening,filling,carignan,flavored,bolstered,barely,french,kept,chicken,bits,beer,gamay,currant
23:-14.265809362598539:field,cherry,classically,frame,orange,pit,charm,culminate,straddles,toasty,cabernets,brilliantly,accompanying,pain,clings,piedirosso,offering,dill,900,piquant
24:-17.217165675898496:conjure,gordon,mineral,brunello,deftness,carter,obviously,coaxes,exclusively,foggy,scented,fun,showcases,shiny,costa,body,details,philosophy,plateau,defines
25:-17.21352404726664:flagship,domaine,boundary,80,prevailing,ageworthiness,ends,gradually,imports,finally,given,exuding,views,beckons,vibrant,wanting,oyster,composting,develop,demeter
26:-17.858521639361555:clay,fragrant,hanzell,reflection,fourth,evolved,2028,exposing,porcini,stephen,outlook,burgers,potpourri,ideal,decanted,harsh,côtes,olive,scads,pecorino
27:-17.64549357326774:bland,borges,riper,squeezed,greatest,recent,gris,dos,local,needed,laced,unsweetened,cleanliness,check,transitions,memorably,expressive,777,minimum,jackson
28:-18.659244229939198:born,prevailing,look,leans,daughter,feteasca,oils,progresses,ripest,lawrence,smoothly,lovers,mano,affinity,tons,importer,bells,selection,hedonistic,cotta
29:-16.960531654683205:commanding,future,reddish,fermenting,06,gregorio,proudly,dances,owned,hearty,bourbon,select,powder,cement,tang,legend,doesn,reflect,venture,easygoing
30:-18.282386378367185:constantly,weaker,luisa,recipe,solidly,laden,protein,shaved,unctuously,meatiness,constitute,jell,narrowly,theme,majestically,fringe,talc,thrill,newest,massive
